10	2
14	5
18	12
20	18
21	15
21	20
24	3
25	18
26	24
30	20
31	17
31	23
32	6
32	21
32	23
36	30
37	2
38	13
39	10
41	5
44	13
44	33
46	14
47	28
49	28
51	22
53	20
54	47
57	46
58	55
59	46
59	58
61	5
61	43
62	9
62	23
62	31
62	59
63	0
64	28
64	60
65	5
65	9
67	45
68	33
68	62
70	2
71	30
71	31
71	35
72	37
73	60
74	32
75	13
75	49
76	44
77	20
77	49
77	54
77	62
79	49
80	32
80	77
81	22
81	48
81	71
81	77
82	3
83	37
84	42
88	34
88	38
88	63
88	65
90	32
90	52
90	72
91	82
92	5
92	45
92	67
94	6
94	39
94	42
94	61
95	0
95	84
96	47
96	93
97	11
97	29
98	17
98	48
98	61
98	82
99	9
99	87
