10	2
14	5
18	12
21	15
21	20
25	18
26	24
32	6
32	23
36	30
38	13
44	33
46	14
47	28
53	20
54	47
59	58
61	43
62	23
63	0
65	5
67	45
68	62
71	30
73	60
74	32
75	49
77	20
77	49
77	62
80	77
81	22
81	71
81	77
82	3
88	38
88	63
90	32
90	72
92	5
92	45
92	67
94	61
95	0
96	47
96	93
97	29
98	17
98	61
99	87
120	118
124	103
130	120
131	117
131	123
132	121
137	102
139	110
141	105
144	113
149	128
151	122
157	146
158	155
159	146
161	105
162	109
162	131
162	159
164	128
164	160
165	109
168	133
170	102
171	131
171	135
172	137
175	113
176	144
177	154
179	149
180	132
181	148
183	137
184	142
188	134
188	165
190	152
191	182
194	106
194	139
194	142
195	184
197	111
198	148
198	182
199	109
